Группа;Название ресторана;Последний статус
"4 аудита";"Сити Молл Санкт-петербург";"Зеленый"
"3 аудита";"Академ Парк Санкт-Петербург";"Зеленый"
"3 аудита";"Акваполис Псков";"Зеленый"
"3 аудита";"Аэро Санкт-Петербург";"Зеленый"
"3 аудита";"Богатырский Санкт-Петербург";"Красный"
"3 аудита";"Бульвар Колпино Санкт-Петербург";"Зеленый"
"3 аудита";"Бухарестская Санкт-Петербург";"Красный"
"3 аудита";"Василеостровская Санкт-Петербург";"Зеленый"
"3 аудита";"Гранд Каньон Санкт-Петербург";"Зеленый"
"3 аудита";"Дорога жизни Всеволожск";"Зеленый"
"3 аудита";"Европолис Санкт-Петербург";"Зеленый"
"3 аудита";"Жемчужная плаза Санкт-Петербург";"Зеленый"
"3 аудита";"Ильюшина Санкт-Петербург";"Зеленый"
"3 аудита";"Кировск Санкт-Петербург";"Красный"
"3 аудита";"Кирочная Санкт-Петербург";"Зеленый"
"3 аудита";"Кирпичный Санкт-Петербург";"Зеленый"
"3 аудита";"Колесо Санкт-Петербург";"Зеленый"
"3 аудита";"Колпино Оборонная Санкт-Петербург";"Красный"
"3 аудита";"Культура Просвещения Санкт-Петербург";"Зеленый"
"3 аудита";"Культура Санкт-Петербург";"Зеленый"
"3 аудита";"Лента Псковская Великий Новгород";"Зеленый"
"3 аудита";"Леруа Псков";"Зеленый"
"3 аудита";"Лето Сити Санкт-Петербург";"Зеленый"
"3 аудита";"Лиговский 48 Санкт-Петербург";"Зеленый"
"3 аудита";"Лондон Молл Санкт-Петербург";"Красный"
"3 аудита";"Лотос Плаза Петрозаводск";"Зеленый"
"3 аудита";"Монпансье Санкт-Петербург";"Зеленый"
"3 аудита";"Невский Санкт-Петербург";"Зеленый"
"3 аудита";"Нехинская Великий Новгород";"Зеленый"
"3 аудита";"Норд Санкт-Петербург";"Зеленый"
"3 аудита";"Озерки Санкт-Петербург";"Зеленый"
"3 аудита";"ПТК Петрозаводск";"Зеленый"
"3 аудита";"Парнас Дудина Санкт-Петербург";"Красный"
"3 аудита";"Петроградская Санкт-Петербург";"Зеленый"
"3 аудита";"Питерленд Санкт-Петербург";"Зеленый"
"3 аудита";"Победа Петрозаводск";"Зеленый"
"3 аудита";"Пулково Санкт-Петербург";"Зеленый"
"3 аудита";"Радуга Санкт-Петербург";"Зеленый"
"3 аудита";"Русь Великий Новгород";"Зеленый"
"3 аудита";"Рыбацкое Санкт-Петербург";"Зеленый"
"3 аудита";"Славянка Санкт-Петербург";"Зеленый"
"3 аудита";"Татнефть Народная Санкт-Петербург";"Зеленый"
"3 аудита";"Ульянка Санкт-Петербург";"Зеленый"
"3 аудита";"Фучика Санкт- Петербург";"Зеленый"
"3 аудита";"Шушары Санкт-Петербург";"Зеленый"
"3 аудита";"Юнион Выборгское шоссе Санкт-Петербург";"Зеленый"
"2 аудита";"Автово Санкт-Петербург";"Зеленый "
"2 аудита";"Атмосфера Санкт-Петербург";"Зеленый"
"2 аудита";"Бадаева Санкт-Петербург";"Красный"
"2 аудита";"Балкания Санкт-Петербург";"Зеленый "
"2 аудита";"Бенуа Санкт-Петербург";"Зеленый"
"2 аудита";"Браво Череповец";"Зеленый "
"2 аудита";"Владимирская Санкт-Петербург";"Зеленый"
"2 аудита";"Вокзал 1853 Санкт-Петербург";"Зеленый"
"2 аудита";"Выборг Санкт-Петербург";"Зеленый "
"2 аудита";"Гаккелевская Санкт-Петербург";"Зеленый"
"2 аудита";"Галактика Сосновый Бор Санкт-Петербург";"Зеленый"
"2 аудита";"Галерея Санкт-Петербург";"Зеленый "
"2 аудита";"Гатчина Санкт-Петербург";"Зеленый"
"2 аудита";"Гашека Санкт-Петербург";"Зеленый "
"2 аудита";"Героев Кириши Санкт-Петербург";"Красный"
